source_product,question_number,question_label,question_type,possible_answers,status,mapped_key,notes
MedicoProtetto,1,Frazionamento premio,single_select,"Annuale | Semestrale",TO_ADD,,Scelta pagamento non prevista nel form attuale
MedicoProtetto,2,Data iscrizione all'Albo,date,YYYY-MM-DD,ALREADY,q_data_iscrizione_albo,
MedicoProtetto,3,"Hai già avuto polizze RC con AmTrust negli ultimi 5 anni?",boolean,Sì | No,TO_ADD,,Storico assicurativo con la compagnia (anti-churn)
MedicoProtetto,4,"Hai altre coperture RC professionali attualmente in corso?",boolean,Sì | No,ALREADY,q_polizza_in_corso,
MedicoProtetto,5,"Se sì, con quale compagnia?",text,free_text,TO_ADD,,Solo se q_polizza_in_corso = Sì
MedicoProtetto,6,"Se sì, con quale scadenza?",date,YYYY-MM-DD,TO_ADD,,Solo se q_polizza_in_corso = Sì
MedicoProtetto,7,Attività professionale attualmente svolta,single_select,"43 gruppi di rischio (es. Medico di base, Anestesista, Chirurgo generale, Cardiochirurgo, Ginecologo, Ortopedico, Neurochirurgo, ...)",MODIFY,q_specializzazione_libera,"Attualmente libero testo; va convertito in elenco chiuso con 43 gruppi e classe di rischio associata"
MedicoProtetto,8,Attività cessata?,boolean,Sì | No,TO_ADD,,Copertura postuma per attività chiuse
MedicoProtetto,9,"Se cessata, data di cessazione",date,YYYY-MM-DD,TO_ADD,,Determina periodo postumo
MedicoProtetto,10,Pratichi medicina estetica sul viso?,boolean,Sì | No,ALREADY,q_medicina_estetica_viso,
MedicoProtetto,11,Esegui accertamenti/procedure invasive?,boolean,Sì | No,ALREADY,q_accertamenti_invasivi,
MedicoProtetto,12,Esegui interventi chirurgici?,boolean,Sì | No,ALREADY,q_interventi_chirurgici,
MedicoProtetto,13,Esegui fecondazione medicalmente assistita?,boolean,Sì | No,ALREADY,q_fecondazione_assistita,
MedicoProtetto,14,Presti assistenza al parto?,boolean,Sì | No,ALREADY,q_assistenza_parto,
MedicoProtetto,15,Esegui implantologia?,boolean,Sì | No,ALREADY,q_implantologia,
MedicoProtetto,16,Luogo di lavoro principale,single_select,"Studio privato | Ospedale pubblico | Clinica privata | Ambulatorio | Domicilio paziente | Altro",ALREADY,q_luogo_lavoro,
MedicoProtetto,17,Regime professionale,single_select,"Libero professionista | Dipendente | Misto | Specializzando",ALREADY,q_regime_professionale,
MedicoProtetto,18,Struttura di lavoro è di tua proprietà?,boolean,Sì | No,TO_ADD,,Rilevante per RCT/RCO
MedicoProtetto,19,Periodo di retroattività desiderato,single_select,"1 anno | 3 anni | 5 anni | 10 anni | Illimitata",MODIFY,q_retroattivita,"Attuale: 1y/3y/5y/unlimited → aggiungere 10 anni"
MedicoProtetto,20,Massimale desiderato,single_select,"€1.000.000 | €2.000.000 | €3.000.000 | €5.000.000",MODIFY,q_massimale_desiderato,"Attuale: 500k/1M/2M → aggiungere 3M e 5M; rimuovere 500k"
MedicoProtetto,21,Franchigia,single_select,"Nessuna | €2.500 | €10.000",TO_ADD,,Leva di pricing non presente
MedicoProtetto,22,Garanzia aggiuntiva: Ruolo apicale,boolean,Sì | No,TO_ADD,,Add-on
MedicoProtetto,23,Garanzia aggiuntiva: Altre perdite patrimoniali,boolean,Sì | No,TO_ADD,,Add-on
MedicoProtetto,24,Garanzia aggiuntiva: Omesso adempimento crediti ECM,boolean,Sì | No,TO_ADD,,Add-on
MedicoProtetto,25,Sinistri RC negli ultimi 5 anni,integer,0..n,ALREADY,q_sinistri_rc,
MedicoProtetto,26,"Fatti noti / circostanze che potrebbero dar luogo a sinistri",boolean,Sì | No,TO_ADD,,Distinto da sinistri dichiarati; importante per eligibility
